batch_size,context_size,concurrency,k,routing_interval,strategy,configuration_order,repeat,request_index,latency_seconds,queue_seconds,service_seconds,actual_batch_size,semantics,request_id,task_id,task_type,step,state_sha256
1,128,4,1,1,single,0,1,2,0.8104718329850584,0.5392446659971029,0.26972129195928574,1,queue-inclusive service request,replay-1-0,5e269f66a46c0c02,retrieval,0,caebd297d2e6059d30182feb06b45dd81df40c616172d1aa4e6c323f3476ac02
1,128,4,1,1,single,0,1,3,1.1122495000017807,0.8089875000296161,0.30178108398104087,1,queue-inclusive service request,replay-1-1,5e269f66a46c0c02,retrieval,1,ddce54a1ab2625971ce0f90f1e8c5cf711905c05a8b7073b1352bfcd34dcec16
1,128,4,1,1,single,0,1,4,1.4337508330354467,1.1107912920415401,0.32148483296623453,1,queue-inclusive service request,replay-2-0,6f543ee6af6b8920,code,0,c12358112bcde5b798e8d49256aadcdb79a74920a12af33eceefc360c975ff72
1,128,4,1,1,single,0,1,5,1.7448706250288524,1.4322987500345334,0.3111014169990085,1,queue-inclusive service request,replay-2-1,6f543ee6af6b8920,code,1,9af6b5b5e7c296e4e997a0afd43064896d908dd16fd94949b8497c0ec878a383
1,128,4,1,1,single,0,1,6,2.0013731670333073,1.7434272920363583,0.25644074997399,1,queue-inclusive service request,replay-3-0,54dc4983ab578f2c,code,0,d2e970ccba38ef38b5871c9673def3ba341759a05b280645e2e00d52671724e8
1,128,4,1,1,single,0,1,7,2.298102625005413,1.99989508301951,0.29810166696552187,1,queue-inclusive service request,replay-3-1,54dc4983ab578f2c,code,1,a00e8bb8ae6325d5a92bab733139b8877628892cf432702c5b8e2be93963bb72
1,128,4,1,1,single,0,2,0,0.2479612500173971,6.933399708941579e-05,0.24633062502834946,1,queue-inclusive service request,replay-0-0,48938588903be5f0,math,0,27b260dc9006998d3cc07116750a2301f7c074bb87935263baaacb82ceefc7a8
1,128,4,1,1,single,0,2,1,0.5872825420228764,0.24504166701808572,0.3384649580111727,1,queue-inclusive service request,replay-0-1,48938588903be5f0,math,1,4d29a3653f4820017fca9a079e23341f237a5e27ce6fd820d5bd2aa31f55f1d9
1,128,4,1,1,single,0,2,2,0.8524770829826593,0.5835230829543434,0.26746216701576486,1,queue-inclusive service request,replay-1-0,5e269f66a46c0c02,retrieval,0,caebd297d2e6059d30182feb06b45dd81df40c616172d1aa4e6c323f3476ac02
1,128,4,1,1,single,0,2,3,1.160972000041511,0.8510034580249339,0.3085403330042027,1,queue-inclusive service request,replay-1-1,5e269f66a46c0c02,retrieval,1,ddce54a1ab2625971ce0f90f1e8c5cf711905c05a8b7073b1352bfcd34dcec16
1,128,4,1,1,single,0,2,4,1.4486189160379581,1.1595682500046678,0.28748354100389406,1,queue-inclusive service request,replay-2-0,6f543ee6af6b8920,code,0,c12358112bcde5b798e8d49256aadcdb79a74920a12af33eceefc360c975ff72
1,128,4,1,1,single,0,2,5,1.7507282090373337,1.4470834170351736,0.30218441697070375,1,queue-inclusive service request,replay-2-1,6f543ee6af6b8920,code,1,9af6b5b5e7c296e4e997a0afd43064896d908dd16fd94949b8497c0ec878a383
1,128,4,1,1,single,0,2,6,1.996628332999535,1.749294999986887,0.24576320801861584,1,queue-inclusive service request,replay-3-0,54dc4983ab578f2c,code,0,d2e970ccba38ef38b5871c9673def3ba341759a05b280645e2e00d52671724e8
1,128,4,1,1,single,0,2,7,2.3079856249969453,1.9950870829634368,0.31276137504028156,1,queue-inclusive service request,replay-3-1,54dc4983ab578f2c,code,1,a00e8bb8ae6325d5a92bab733139b8877628892cf432702c5b8e2be93963bb72
1,128,4,2,1,single,1,0,0,0.24516766698798165,0.00011908297892659903,0.24339358403813094,1,queue-inclusive service request,replay-0-0,48938588903be5f0,math,0,27b260dc9006998d3cc07116750a2301f7c074bb87935263baaacb82ceefc7a8
1,128,4,2,1,single,1,0,1,0.5271647909539752,0.24212258297484368,0.2835745830088854,1,queue-inclusive service request,replay-0-1,48938588903be5f0,math,1,4d29a3653f4820017fca9a079e23341f237a5e27ce6fd820d5bd2aa31f55f1d9
1,128,4,2,1,single,1,0,2,0.8329631659435108,0.5257170829572715,0.3056326250080019,1,queue-inclusive service request,replay-1-0,5e269f66a46c0c02,retrieval,0,caebd297d2e6059d30182feb06b45dd81df40c616172d1aa4e6c323f3476ac02
1,128,4,2,1,single,1,0,3,1.2067702499916777,0.8313860420021228,0.37347883300390095,1,queue-inclusive service request,replay-1-1,5e269f66a46c0c02,retrieval,1,ddce54a1ab2625971ce0f90f1e8c5cf711905c05a8b7073b1352bfcd34dcec16
1,128,4,2,1,single,1,0,4,1.5231137920054607,1.2048864999669604,0.316646708000917,1,queue-inclusive service request,replay-2-0,6f543ee6af6b8920,code,0,c12358112bcde5b798e8d49256aadcdb79a74920a12af33eceefc360c975ff72
1,128,4,2,1,single,1,0,5,1.9076001250068657,1.5215610840241425,0.3844339160132222,1,queue-inclusive service request,replay-2-1,6f543ee6af6b8920,code,1,9af6b5b5e7c296e4e997a0afd43064896d908dd16fd94949b8497c0ec878a383
1,128,4,2,1,single,1,0,6,3.493651291995775,1.9060239999671467,1.5850598340039141,1,queue-inclusive service request,replay-3-0,54dc4983ab578f2c,code,0,d2e970ccba38ef38b5871c9673def3ba341759a05b280645e2e00d52671724e8
1,128,4,2,1,single,1,0,7,3.895195833989419,3.4912032919819467,0.40386887500062585,1,queue-inclusive service request,replay-3-1,54dc4983ab578f2c,code,1,a00e8bb8ae6325d5a92bab733139b8877628892cf432702c5b8e2be93963bb72
1,128,4,2,1,single,1,1,0,0.2715930000413209,0.00016283401055261493,0.2699268750147894,1,queue-inclusive service request,replay-0-0,48938588903be5f0,math,0,27b260dc9006998d3cc07116750a2301f7c074bb87935263baaacb82ceefc7a8
1,128,4,2,1,single,1,1,1,0.6000284579931758,0.26853787497384474,0.32998495805077255,1,queue-inclusive service request,replay-0-1,48938588903be5f0,math,1,4d29a3653f4820017fca9a079e23341f237a5e27ce6fd820d5bd2aa31f55f1d9
1,128,4,2,1,single,1,1,2,0.9123409169842489,0.5985375000163913,0.3122528329840861,1,queue-inclusive service request,replay-1-0,5e269f66a46c0c02,retrieval,0,caebd297d2e6059d30182feb06b45dd81df40c616172d1aa4e6c323f3476ac02
1,128,4,2,1,single,1,1,3,1.251233917020727,0.9108138750307262,0.3389316250104457,1,queue-inclusive service request,replay-1-1,5e269f66a46c0c02,retrieval,1,ddce54a1ab2625971ce0f90f1e8c5cf711905c05a8b7073b1352bfcd34dcec16
1,128,4,2,1,single,1,1,4,1.537671166996006,1.2497692499891855,0.2863966670120135,1,queue-inclusive service request,replay-2-0,6f543ee6af6b8920,code,0,c12358112bcde5b798e8d49256aadcdb79a74920a12af33eceefc360c975ff72
1,128,4,2,1,single,1,1,5,1.8200028749997728,1.536194082989823,0.282388916995842,1,queue-inclusive service request,replay-2-1,6f543ee6af6b8920,code,1,9af6b5b5e7c296e4e997a0afd43064896d908dd16fd94949b8497c0ec878a383
1,128,4,2,1,single,1,1,6,2.053233124956023,1.8186113329720683,0.23314175003906712,1,queue-inclusive service request,replay-3-0,54dc4983ab578f2c,code,0,d2e970ccba38ef38b5871c9673def3ba341759a05b280645e2e00d52671724e8
1,128,4,2,1,single,1,1,7,2.39622358296765,2.051776999956928,0.3441559170023538,1,queue-inclusive service request,replay-3-1,54dc4983ab578f2c,code,1,a00e8bb8ae6325d5a92bab733139b8877628892cf432702c5b8e2be93963bb72
1,128,4,2,1,single,1,2,0,0.3206426249817014,7.162499241530895e-05,0.3189610840054229,1,queue-inclusive service request,replay-0-0,48938588903be5f0,math,0,27b260dc9006998d3cc07116750a2301f7c074bb87935263baaacb82ceefc7a8
1,128,4,2,1,single,1,2,1,0.7430457919836044,0.31733716698363423,0.42429266701219603,1,queue-inclusive service request,replay-0-1,48938588903be5f0,math,1,4d29a3653f4820017fca9a079e23341f237a5e27ce6fd820d5bd2aa31f55f1d9
1,128,4,2,1,single,1,2,2,1.0767623750143684,0.7416433339822106,0.33361995802260935,1,queue-inclusive service request,replay-1-0,5e269f66a46c0c02,retrieval,0,caebd297d2e6059d30182feb06b45dd81df40c616172d1aa4e6c323f3476ac02
1,128,4,2,1,single,1,2,3,1.3714250000193715,1.0752935410127975,0.2946917089866474,1,queue-inclusive service request,replay-1-1,5e269f66a46c0c02,retrieval,1,ddce54a1ab2625971ce0f90f1e8c5cf711905c05a8b7073b1352bfcd34dcec16
1,128,4,2,1,single,1,2,4,1.6379473339766264,1.3700032499618828,0.266438459046185,1,queue-inclusive service request,replay-2-0,6f543ee6af6b8920,code,0,c12358112bcde5b798e8d49256aadcdb79a74920a12af33eceefc360c975ff72
1,128,4,2,1,single,1,2,5,1.9786705420119688,1.6364663749700412,0.3406529170460999,1,queue-inclusive service request,replay-2-1,6f543ee6af6b8920,code,1,9af6b5b5e7c296e4e997a0afd43064896d908dd16fd94949b8497c0ec878a383
1,128,4,2,1,single,1,2,6,2.3180158750037663,1.9771473750006407,0.3393250420340337,1,queue-inclusive service request,replay-3-0,54dc4983ab578f2c,code,0,d2e970ccba38ef38b5871c9673def3ba341759a05b280645e2e00d52671724e8
1,128,4,2,1,single,1,2,7,2.6329241250059567,2.316507041978184,0.3162566659739241,1,queue-inclusive service request,replay-3-1,54dc4983ab578f2c,code,1,a00e8bb8ae6325d5a92bab733139b8877628892cf432702c5b8e2be93963bb72
1,128,1,2,1,dynamic,2,0,0,0.7767914999858476,5.2165938541293144e-05,0.776694750005845,1,queue-inclusive service request,replay-0-0,48938588903be5f0,math,0,27b260dc9006998d3cc07116750a2301f7c074bb87935263baaacb82ceefc7a8
1,128,1,2,1,dynamic,2,0,1,1.0914988340227865,0.7768181660212576,0.31464604201028123,1,queue-inclusive service request,replay-0-1,48938588903be5f0,math,1,4d29a3653f4820017fca9a079e23341f237a5e27ce6fd820d5bd2aa31f55f1d9
1,128,1,2,1,dynamic,2,0,2,1.3855634999927133,1.0915431239991449,0.29398404201492667,1,queue-inclusive service request,replay-1-0,5e269f66a46c0c02,retrieval,0,caebd297d2e6059d30182feb06b45dd81df40c616172d1aa4e6c323f3476ac02
1,128,1,2,1,dynamic,2,0,3,1.711545958998613,1.3856117500108667,0.3258955840137787,1,queue-inclusive service request,replay-1-1,5e269f66a46c0c02,retrieval,1,ddce54a1ab2625971ce0f90f1e8c5cf711905c05a8b7073b1352bfcd34dcec16
1,128,1,2,1,dynamic,2,0,4,1.9716217080131173,1.7115970409940928,0.2599770830129273,1,queue-inclusive service request,replay-2-0,6f543ee6af6b8920,code,0,c12358112bcde5b798e8d49256aadcdb79a74920a12af33eceefc360c975ff72
1,128,1,2,1,dynamic,2,0,5,2.266982832981739,1.9716742909513414,0.29526987503049895,1,queue-inclusive service request,replay-2-1,6f543ee6af6b8920,code,1,9af6b5b5e7c296e4e997a0afd43064896d908dd16fd94949b8497c0ec878a383
1,128,1,2,1,dynamic,2,0,6,2.5013915830058977,2.267033124982845,0.23432066600071266,1,queue-inclusive service request,replay-3-0,54dc4983ab578f2c,code,0,d2e970ccba38ef38b5871c9673def3ba341759a05b280645e2e00d52671724e8
1,128,1,2,1,dynamic,2,0,7,2.8129816250293516,2.5014394160243683,0.3115058339899406,1,queue-inclusive service request,replay-3-1,54dc4983ab578f2c,code,1,a00e8bb8ae6325d5a92bab733139b8877628892cf432702c5b8e2be93963bb72
1,128,1,2,1,dynamic,2,1,0,0.8023059999686666,3.2998970709741116e-05,0.8019656669930555,1,queue-inclusive service request,replay-0-0,48938588903be5f0,math,0,27b260dc9006998d3cc07116750a2301f7c074bb87935263baaacb82ceefc7a8
1,128,1,2,1,dynamic,2,1,1,1.660475165990647,0.8028217080282047,0.8573971660225652,1,queue-inclusive service request,replay-0-1,48938588903be5f0,math,1,4d29a3653f4820017fca9a079e23341f237a5e27ce6fd820d5bd2aa31f55f1d9
1,128,1,2,1,dynamic,2,1,2,2.0652908330084756,1.6605315830092877,0.40472037496510893,1,queue-inclusive service request,replay-1-0,5e269f66a46c0c02,retrieval,0,caebd297d2e6059d30182feb06b45dd81df40c616172d1aa4e6c323f3476ac02
1,128,1,2,1,dynamic,2,1,3,2.4173964579822496,2.065337499952875,0.3519802079536021,1,queue-inclusive service request,replay-1-1,5e269f66a46c0c02,retrieval,1,ddce54a1ab2625971ce0f90f1e8c5cf711905c05a8b7073b1352bfcd34dcec16
1,128,1,2,1,dynamic,2,1,4,2.695520708046388,2.4174800409819,0.2779950420372188,1,queue-inclusive service request,replay-2-0,6f543ee6af6b8920,code,0,c12358112bcde5b798e8d49256aadcdb79a74920a12af33eceefc360c975ff72
1,128,1,2,1,dynamic,2,1,5,2.9905336250085384,2.695572251046542,0.2949261670000851,1,queue-inclusive service request,replay-2-1,6f543ee6af6b8920,code,1,9af6b5b5e7c296e4e997a0afd43064896d908dd16fd94949b8497c0ec878a383
1,128,1,2,1,dynamic,2,1,6,4.254151374974754,2.9905782499699853,1.2633377920137718,1,queue-inclusive service request,replay-3-0,54dc4983ab578f2c,code,0,d2e970ccba38ef38b5871c9673def3ba341759a05b280645e2e00d52671724e8
1,128,1,2,1,dynamic,2,1,7,6.5767311249510385,4.254364583932329,2.295119291986339,1,queue-inclusive service request,replay-3-1,54dc4983ab578f2c,code,1,a00e8bb8ae6325d5a92bab733139b8877628892cf432702c5b8e2be93963bb72
1,128,1,2,1,dynamic,2,2,0,0.7688948329887353,0.0007270000060088933,0.7680988750071265,1,queue-inclusive service request,replay-0-0,48938588903be5f0,math,0,27b260dc9006998d3cc07116750a2301f7c074bb87935263baaacb82ceefc7a8
1,128,1,2,1,dynamic,2,2,1,1.1374117499799468,0.7683486249879934,0.3690262919990346,1,queue-inclusive service request,replay-0-1,48938588903be5f0,math,1,4d29a3653f4820017fca9a079e23341f237a5e27ce6fd820d5bd2aa31f55f1d9
1,128,1,2,1,dynamic,2,2,2,1.487538792018313,1.1374207920744084,0.35007995896739885,1,queue-inclusive service request,replay-1-0,5e269f66a46c0c02,retrieval,0,caebd297d2e6059d30182feb06b45dd81df40c616172d1aa4e6c323f3476ac02
1,128,1,2,1,dynamic,2,2,3,1.8491539580281824,1.4875868749804795,0.3614965840242803,1,queue-inclusive service request,replay-1-1,5e269f66a46c0c02,retrieval,1,ddce54a1ab2625971ce0f90f1e8c5cf711905c05a8b7073b1352bfcd34dcec16
1,128,1,2,1,dynamic,2,2,4,2.1886627919739112,1.8492122919415124,0.33941212500212714,1,queue-inclusive service request,replay-2-0,6f543ee6af6b8920,code,0,c12358112bcde5b798e8d49256aadcdb79a74920a12af33eceefc360c975ff72
1,128,1,2,1,dynamic,2,2,5,2.555160707968753,2.1887093739933334,0.3664105419884436,1,queue-inclusive service request,replay-2-1,6f543ee6af6b8920,code,1,9af6b5b5e7c296e4e997a0afd43064896d908dd16fd94949b8497c0ec878a383
1,128,1,2,1,dynamic,2,2,6,2.8336047080229037,2.555207083991263,0.2783595410292037,1,queue-inclusive service request,replay-3-0,54dc4983ab578f2c,code,0,d2e970ccba38ef38b5871c9673def3ba341759a05b280645e2e00d52671724e8
1,128,1,2,1,dynamic,2,2,7,3.1659698330331594,2.833652167057153,0.33227445802185684,1,queue-inclusive service request,replay-3-1,54dc4983ab578f2c,code,1,a00e8bb8ae6325d5a92bab733139b8877628892cf432702c5b8e2be93963bb72
4,128,4,1,1,single,3,0,0,0.2778175419662148,7.145799463614821e-05,0.2762436249759048,1,queue-inclusive service request,replay-0-0,48938588903be5f0,math,0,27b260dc9006998d3cc07116750a2301f7c074bb87935263baaacb82ceefc7a8
4,128,4,1,1,single,3,0,1,0.6020011249929667,0.2748808749602176,0.3255961670074612,1,queue-inclusive service request,replay-0-1,48938588903be5f0,math,1,4d29a3653f4820017fca9a079e23341f237a5e27ce6fd820d5bd2aa31f55f1d9
4,128,4,1,1,single,3,0,2,0.9469877500087023,0.6004892500350252,0.3450063749914989,1,queue-inclusive service request,replay-1-0,5e269f66a46c0c02,retrieval,0,caebd297d2e6059d30182feb06b45dd81df40c616172d1aa4e6c323f3476ac02
4,128,4,1,1,single,3,0,3,1.399296667019371,0.9455179170472547,0.4523687909822911,1,queue-inclusive service request,replay-1-1,5e269f66a46c0c02,retrieval,1,ddce54a1ab2625971ce0f90f1e8c5cf711905c05a8b7073b1352bfcd34dcec16
4,128,4,1,1,single,3,0,4,1.7299029160058126,1.3979091660003178,0.3304087499855086,1,queue-inclusive service request,replay-2-0,6f543ee6af6b8920,code,0,c12358112bcde5b798e8d49256aadcdb79a74920a12af33eceefc360c975ff72
4,128,4,1,1,single,3,0,5,2.1077042910037562,1.7283661660039797,0.37789287499617785,1,queue-inclusive service request,replay-2-1,6f543ee6af6b8920,code,1,9af6b5b5e7c296e4e997a0afd43064896d908dd16fd94949b8497c0ec878a383
4,128,4,1,1,single,3,0,6,2.5269502499722876,2.1062874579802155,0.41846779198385775,1,queue-inclusive service request,replay-3-0,54dc4983ab578f2c,code,0,d2e970ccba38ef38b5871c9673def3ba341759a05b280645e2e00d52671724e8
4,128,4,1,1,single,3,0,7,2.9285874579800293,2.5248870420036837,0.4035974579746835,1,queue-inclusive service request,replay-3-1,54dc4983ab578f2c,code,1,a00e8bb8ae6325d5a92bab733139b8877628892cf432702c5b8e2be93963bb72
4,128,4,1,1,single,3,1,0,0.37611424998613074,0.00015008298214524984,0.3742951250169426,1,queue-inclusive service request,replay-0-0,48938588903be5f0,math,0,27b260dc9006998d3cc07116750a2301f7c074bb87935263baaacb82ceefc7a8
4,128,4,1,1,single,3,1,1,1.4508926669950597,0.3729576670448296,1.0764015829772688,1,queue-inclusive service request,replay-0-1,48938588903be5f0,math,1,4d29a3653f4820017fca9a079e23341f237a5e27ce6fd820d5bd2aa31f55f1d9
4,128,4,1,1,single,3,1,2,1.8894458750146441,1.4493712920229882,0.43781162501545623,1,queue-inclusive service request,replay-1-0,5e269f66a46c0c02,retrieval,0,caebd297d2e6059d30182feb06b45dd81df40c616172d1aa4e6c323f3476ac02
4,128,4,1,1,single,3,1,3,2.3624708330025896,1.8872749999864027,0.4736100829904899,1,queue-inclusive service request,replay-1-1,5e269f66a46c0c02,retrieval,1,ddce54a1ab2625971ce0f90f1e8c5cf711905c05a8b7073b1352bfcd34dcec16
4,128,4,1,1,single,3,1,4,2.694026625016704,2.360930000024382,0.33150874997954816,1,queue-inclusive service request,replay-2-0,6f543ee6af6b8920,code,0,c12358112bcde5b798e8d49256aadcdb79a74920a12af33eceefc360c975ff72
4,128,4,1,1,single,3,1,5,3.026034458016511,2.6924660420045257,0.33208550000563264,1,queue-inclusive service request,replay-2-1,6f543ee6af6b8920,code,1,9af6b5b5e7c296e4e997a0afd43064896d908dd16fd94949b8497c0ec878a383
4,128,4,1,1,single,3,1,6,3.341685250052251,3.0245817500399426,0.31560429197270423,1,queue-inclusive service request,replay-3-0,54dc4983ab578f2c,code,0,d2e970ccba38ef38b5871c9673def3ba341759a05b280645e2e00d52671724e8
4,128,4,1,1,single,3,1,7,3.6797172499937005,3.340223291015718,0.33937845897162333,1,queue-inclusive service request,replay-3-1,54dc4983ab578f2c,code,1,a00e8bb8ae6325d5a92bab733139b8877628892cf432702c5b8e2be93963bb72
4,128,4,1,1,single,3,2,0,0.28704304102575406,0.00013887503882870078,0.28538470796775073,1,queue-inclusive service request,replay-0-0,48938588903be5f0,math,0,27b260dc9006998d3cc07116750a2301f7c074bb87935263baaacb82ceefc7a8
4,128,4,1,1,single,3,2,1,0.6327137500047684,0.28406325000105426,0.34708408400183544,1,queue-inclusive service request,replay-0-1,48938588903be5f0,math,1,4d29a3653f4820017fca9a079e23341f237a5e27ce6fd820d5bd2aa31f55f1d9
4,128,4,1,1,single,3,2,2,1.1096682089846581,0.6311657089972869,0.47693308297311887,1,queue-inclusive service request,replay-1-0,5e269f66a46c0c02,retrieval,0,caebd297d2e6059d30182feb06b45dd81df40c616172d1aa4e6c323f3476ac02
4,128,4,1,1,single,3,2,3,1.456393750035204,1.108119959011674,0.3466096249758266,1,queue-inclusive service request,replay-1-1,5e269f66a46c0c02,retrieval,1,ddce54a1ab2625971ce0f90f1e8c5cf711905c05a8b7073b1352bfcd34dcec16
4,128,4,1,1,single,3,2,4,1.7476610000012442,1.454755041981116,0.2911008750088513,1,queue-inclusive service request,replay-2-0,6f543ee6af6b8920,code,0,c12358112bcde5b798e8d49256aadcdb79a74920a12af33eceefc360c975ff72
4,128,4,1,1,single,3,2,5,2.1183792499941774,1.7459574170061387,0.3707520409952849,1,queue-inclusive service request,replay-2-1,6f543ee6af6b8920,code,1,9af6b5b5e7c296e4e997a0afd43064896d908dd16fd94949b8497c0ec878a383
4,128,4,1,1,single,3,2,6,2.4621841249754652,2.1167450409848243,0.3437765419948846,1,queue-inclusive service request,replay-3-0,54dc4983ab578f2c,code,0,d2e970ccba38ef38b5871c9673def3ba341759a05b280645e2e00d52671724e8
4,128,4,1,1,single,3,2,7,2.7988584999693558,2.4605522910133004,0.33819066698197275,1,queue-inclusive service request,replay-3-1,54dc4983ab578f2c,code,1,a00e8bb8ae6325d5a92bab733139b8877628892cf432702c5b8e2be93963bb72
4,128,4,2,1,dynamic,4,0,0,0.9539244159823284,4.654197255149484e-05,0.9537089579971507,4,queue-inclusive service request,replay-0-0,48938588903be5f0,math,0,27b260dc9006998d3cc07116750a2301f7c074bb87935263baaacb82ceefc7a8
4,128,4,2,1,dynamic,4,0,1,0.9539938329835422,3.6499928683042526e-05,0.9537089579971507,4,queue-inclusive service request,replay-0-1,48938588903be5f0,math,1,4d29a3653f4820017fca9a079e23341f237a5e27ce6fd820d5bd2aa31f55f1d9
4,128,4,2,1,dynamic,4,0,2,0.9539955419604667,3.2791984267532825e-05,0.9537089579971507,4,queue-inclusive service request,replay-1-0,5e269f66a46c0c02,retrieval,0,caebd297d2e6059d30182feb06b45dd81df40c616172d1aa4e6c323f3476ac02
4,128,4,2,1,dynamic,4,0,3,0.9539965830044821,3.0166993383318186e-05,0.9537089579971507,4,queue-inclusive service request,replay-1-1,5e269f66a46c0c02,retrieval,1,ddce54a1ab2625971ce0f90f1e8c5cf711905c05a8b7073b1352bfcd34dcec16
4,128,4,2,1,dynamic,4,0,4,2.637418999976944,0.9540964590269141,1.68322312500095,4,queue-inclusive service request,replay-2-0,6f543ee6af6b8920,code,0,c12358112bcde5b798e8d49256aadcdb79a74920a12af33eceefc360c975ff72
4,128,4,2,1,dynamic,4,0,5,2.6374433750170283,0.9541011670371518,1.68322312500095,4,queue-inclusive service request,replay-2-1,6f543ee6af6b8920,code,1,9af6b5b5e7c296e4e997a0afd43064896d908dd16fd94949b8497c0ec878a383
4,128,4,2,1,dynamic,4,0,6,2.637446458975319,0.9541005000355653,1.68322312500095,4,queue-inclusive service request,replay-3-0,54dc4983ab578f2c,code,0,d2e970ccba38ef38b5871c9673def3ba341759a05b280645e2e00d52671724e8
4,128,4,2,1,dynamic,4,0,7,2.6374483330291696,0.9541000840836205,1.68322312500095,4,queue-inclusive service request,replay-3-1,54dc4983ab578f2c,code,1,a00e8bb8ae6325d5a92bab733139b8877628892cf432702c5b8e2be93963bb72
4,128,4,2,1,dynamic,4,1,0,2.479599291982595,6.18749181739986e-05,2.479380709002726,4,queue-inclusive service request,replay-0-0,48938588903be5f0,math,0,27b260dc9006998d3cc07116750a2301f7c074bb87935263baaacb82ceefc7a8
4,128,4,2,1,dynamic,4,1,1,2.479630207992159,4.4915941543877125e-05,2.479380709002726,4,queue-inclusive service request,replay-0-1,48938588903be5f0,math,1,4d29a3653f4820017fca9a079e23341f237a5e27ce6fd820d5bd2aa31f55f1d9
4,128,4,2,1,dynamic,4,1,2,2.479629625042435,4.0207989513874054e-05,2.479380709002726,4,queue-inclusive service request,replay-1-0,5e269f66a46c0c02,retrieval,0,caebd297d2e6059d30182feb06b45dd81df40c616172d1aa4e6c323f3476ac02
4,128,4,2,1,dynamic,4,1,3,2.479634375020396,3.708299482241273e-05,2.479380709002726,4,queue-inclusive service request,replay-1-1,5e269f66a46c0c02,retrieval,1,ddce54a1ab2625971ce0f90f1e8c5cf711905c05a8b7073b1352bfcd34dcec16
4,128,4,2,1,dynamic,4,1,4,5.268873666005675,2.479892375005875,2.7888437079964206,4,queue-inclusive service request,replay-2-0,6f543ee6af6b8920,code,0,c12358112bcde5b798e8d49256aadcdb79a74920a12af33eceefc360c975ff72
4,128,4,2,1,dynamic,4,1,5,5.268908000027295,2.479897000011988,2.7888437079964206,4,queue-inclusive service request,replay-2-1,6f543ee6af6b8920,code,1,9af6b5b5e7c296e4e997a0afd43064896d908dd16fd94949b8497c0ec878a383
4,128,4,2,1,dynamic,4,1,6,5.268910082988441,2.4798965000081807,2.7888437079964206,4,queue-inclusive service request,replay-3-0,54dc4983ab578f2c,code,0,d2e970ccba38ef38b5871c9673def3ba341759a05b280645e2e00d52671724e8
4,128,4,2,1,dynamic,4,1,7,5.268911916005891,2.4798958330065943,2.7888437079964206,4,queue-inclusive service request,replay-3-1,54dc4983ab578f2c,code,1,a00e8bb8ae6325d5a92bab733139b8877628892cf432702c5b8e2be93963bb72
